age,emigration_m_2014,emigration_m_2015,change_m,change_f,emigration_f_2014,emigration_f_2015
0-4,943,978,35,75,882,957
5-9,947,994,47,109,861,970
10-14,671,823,152,162,655,817
15-19,1155,1452,297,78,1196,1274
20-24,3186,4945,1759,94,3556,3650
25-29,3232,3996,764,308,3330,3638
30-34,2525,3105,580,293,2349,2642
35-39,1922,2598,676,305,1575,1880
40-44,1368,1850,482,283,1111,1394
45-49,1098,1539,441,176,861,1037
50-54,724,1022,298,77,708,785
55-59,461,577,116,80,508,588
60-64,142,226,84,14,165,179
65-69,62,95,33,43,94,137
70-74,23,40,17,1,60,61
75-79,23,27,4,28,68,96
80+,33,34,1,0,127,127
Visi, 18515,24301,5786,2126,20232,18106
